playerID,nameFirst,nameLast
alomalu01,luis,aloma
alomaro01,roberto,alomar
alomasa02,sandy,alomar
alonsyo01,yonder,alonso
aloufe01,felipe,alou
alouje01,jesus,alou
alouma01,matty,alou
aloumo01,moises,alou
alperwh01,whitey,alpermann
alstode01,dell,alston
alstoga01,garvin,alston
alstoto01,tom,alston
alstowa01,walter,alston
altampo01,porfi,altamirano
altavda01,dan,altavilla
altener01,ernie,alten
altenje01,jesse,altenburg
altheaa01,aaron,altherr
altizda01,dave,altizer
altmage01,george,altman
altobjo01,joe,altobelli
altroni01,nick,altrock
altuvjo01,jose,altuve
alusige01,george,alusik
alvarab01,abe,alvarez
alvarcl01,clemente,alvarez
alvarda01,dario,alvarez
alvarda02,dariel,alvarez
alvarga01,gabe,alvarez
alvarhe01,henderson,alvarez
alvarjo02,jose,alvarez
alvarjo03,jose,alvarado
alvarju01,juan,alvarez
alvarlu01,luis,alvarado
alvaror01,orlando,alvarez
alvaros01,ossie,alvarez
alvarpe01,pedro,alvarez
alvarrj01,rj,alvarez
alvarro01,rogelio,alvarez
alvarta01,tavo,alvarez
alvarto01,tony,alvarez
alvarvi01,victor,alvarez
alvarwi01,wilson,alvarez
alvisma01,max,alvis
alvorbi01,billy,alvord
alyeabr01,brant,alyea
amalfjo01,joey,amalfitano
amarari01,rich,amaral
amarial01,alexi,amarista
amaroru02,ruben,amaro
amblewa01,wayne,ambler
ambrech01,chip,ambres
ambrihe01,hector,ambriz
amelued01,ed,amelung
amesre01,red,ames
amesst01,steve,ames
amezaal01,alfredo,amezaga
amoledo01,doc,amole
amorosa01,sandy,amoros
amorvi01,vicente,amor
anckewa01,walter,ancker
anderal01,alf,anderson
anderal02,allan,anderson
anderan01,andy,anderson
anderbo01,bob,anderson
anderbr01,brady,anderson
anderbr04,brett,anderson
anderbr05,bryan,anderson
anderbr06,brian,anderson
anderbu01,bud,anderson
anderch01,chase,anderson
anderco01,cody,anderson
andercr01,craig,anderson
anderda02,dave,anderson
anderdr02,drew,anderson
anderdw01,dwain,anderson
anderfe01,ferrell,anderson
anderfr01,fred,anderson
anderga01,garret,anderson
anderge01,george,anderson
andergo01,goat,anderson
anderha01,hal,anderson
anderha02,harry,anderson
anderja01,jason,anderson
anderji01,jim,anderson
anderji02,jimmy,anderson
anderjo02,john,anderson
anderjo03,josh,anderson
anderju01,justin,anderson
anderke01,kent,anderson
anderla01,larry,anderson
anderla02,larry,andersen
anderla03,lars,anderson
anderma01,matt,anderson
anderma02,marlon,anderson
andermi02,mike,anderson
anderre01,red,anderson
anderri02,rick,anderson
andersc01,scott,anderson
andersp01,sparky,anderson
anderta01,tanner,anderson
anderti01,tim,anderson
anderty01,tyler,anderson
anderva01,varney,anderson
anderwa01,walter,anderson
anderwi01,wingo,anderson
andinro01,robert,andino
andrast01,steve,andrade
andrecl01,clayton,andrews
andreed01,ed,andrews
andreel01,elbert,andrews
andreer01,ernie,andres
andrefr01,fred,andrews
andrehu01,hub,andrews
andreiv01,ivy,andrews
andreji01,jim,andrews
andrejo01,john,andre
andrejo02,john,andrews
andrejo03,john,andreoli
andreki01,kim,andrew
andremi01,mike,andrews
andrena01,nate,andrews
andrero01,rob,andrews
andresh01,shane,andrews
andrest01,stan,andrews
andrewa01,wally,andrews
andrima01,matt,andriese
andrubi01,bill,andrus
andruel01,elvis,andrus
andrufr01,fred,andrus
andruwi01,wyman,andrus
andujjo01,joaquin,andujar
andujlu01,luis,andujar
andujmi01,miguel,andujar
angelno01,norm,angelini
anglema01,matt,angle
angleto01,tom,angley
ankenpa01,pat,ankenman
ankieri01,rick,ankiel
annade01,dean,anna
annisbi01,bill,annis
ansonca01,cap,anson
anthoer01,eric,anthony
antoldu01,dustin,antolin
antoljo01,joe,antolick
antonbi01,bill,antonello
antonjo01,john,antonelli
antonjo02,johnny,antonelli
antonma01,matt,antonelli
aokino01,nori,aoki
aparilu01,luis,aparicio
apodabo01,bob,apodaca
apontlu01,luis,aponte
appieke01,kevin,appier
appleed01,ed,appleton
applefr01,fred,applegate
applepe01,pete,appleton
applilu01,luke,appling
aquinar01,aristides,aquino
aquingr01,greg,aquino
aquinja01,jayson,aquino
aquinlu01,luis,aquino
aragoan01,angel,aragon
aragoja01,jack,aragon
aranovi01,victor,arano
araujel01,elvis,araujo
araujpe01,pedro,araujo
archdma01,maurice,archdeacon
archech01,chris,archer
archefr01,fred,archer
archeji01,jimmy,archer
archeji02,jim,archer
archige01,george,archie
arciafr01,francisco,arcia
arciajo01,jose,arcia
arciaor01,orlando,arcia
arciaos01,oswaldo,arcia
ardelda01,dan,ardell
ardizru01,rugger,ardizoia
ardnejo01,joe,ardner
ardoida01,danny,ardoin
arellfr01,frank,arellanes
arenano01,nolan,arenado
arencjp01,jp,arencibia
arftha01,hank,arft
ariasal01,alex,arias
ariasal02,alberto,arias
ariasge01,george,arias
ariasjo01,joaquin,arias
ariasru01,rudy,arias
arletbu01,buzz,arlett
arlicdo01,don,arlich
arlinst01,steve,arlin
armasma01,marcos,armas
armasto02,tony,armas
armbrch01,charlie,armbruster
armbred01,ed,armbrister
armbrha01,harry,armbruster
armbror01,orville,armbrust
armoubi99,bill,armour
armstbo01,robert,armstrong
armstge01,george,armstrong
armstho01,howard,armstrong
armstja01,jack,armstrong
armstmi01,mike,armstrong
armstsh01,shawn,armstrong
arndtha01,harry,arndt
arndtla01,larry,arndt
arnolbi01,billy,arnold
arnolch01,chris,arnold
arnolja01,jamie,arnold
arnolsc01,scott,arnold
arnolto01,tony,arnold
arnovmo01,morrie,arnovich
arnsbbr01,brad,arnsberg
arntzor01,orie,arntzen
arochre01,rene,arocha
arojo01,jonathan,aro
arredjo01,jose,arredondo
arrieja01,jake,arrieta
arrigge01,gerry,arrigo
arrojro01,rolando,arrojo
arroybr01,bronson,arroyo
arroych01,christian,arroyo
arroyfe01,fernando,arroyo
arroylu01,luis,arroyo
arroyru01,rudy,arroyo
arrueer01,erisbel,arruebarrena
arundha01,harry,arundel
arundtu01,tug,arundel
asadora01,randy,asadoor
asbelji01,jim,asbell
asbjoca01,casper,asbjornson
ascanjo01,jose,ascanio
ascheco01,cody,asche
asencmi01,miguel,asencio
ashburi01,richie,ashburn
ashbyal01,alan,ashby
ashbyan01,andy,ashby
asheral01,alec,asher
ashfotu01,tucker,ashford
ashke01,ken,ash
ashlebi01,billy,ashley
ashlene01,nevin,ashley
asmusto01,tom,asmussen
asprobo01,bob,aspromonte
asproke01,ken,aspromonte
asselbr01,brian,asselstine
assenpa01,paul,assenmacher
astacez01,ezequiel,astacio
astacpe01,pedro,astacio
astinba01,barrett,astin
astrojo01,joe,astroth
astudwi01,willians,astudillo
asuajca01,carlos,asuaje
atchisc01,scott,atchison
atchlju01,justin,atchley
atherch01,charlie,atherton
atherke01,keith,atherton
atilalu01,luis,atilano
atkinal01,al,atkinson
atkinbi01,bill,atkinson
atkined01,ed,atkinson
atkinga01,garrett,atkins
atkinja01,james,atkins
atkinle01,lefty,atkinson
atkinmi01,mitch,atkins
atkinto01,tommy,atkins
attredi01,dick,attreau
atwelto01,toby,atwell
atwoobi01,bill,atwood
atzja01,jake,atz
aubreha01,chub,aubrey
aubremi01,michael,aubrey
aucoide01,derek,aucoin
auderi01,rich,aude
auerbri01,rick,auerbach
augenbr01,bryan,augenstein
augusda01,dave,augustine
augusdo01,don,august
augusje01,jerry,augustine
aukerel01,elden,auker
auldsle01,tex,aulds
aultdo01,doug,ault
aumonph01,phillippe,aumont
aurilri01,rich,aurilia
ausanjo01,joe,ausanio
ausmubr01,brad,ausmus
austde01,dennis,aust
austihe01,henry,austin
austije01,jeff,austin
austiji01,jimmy,austin
austiji02,jim,austin
austiri01,rick,austin
austity01,tyler,austin
autryal01,al,autry
autrych02,chick,autry
aveliab01,abiatal,avelino
avenbr01,bruce,aven
averiea02,earl,averill
averyst01,steve,avery
averyxa01,xavier,avery
avilaal01,alex,avila
avilabo01,bobby,avila
avilalu01,luis,avilan
avilemi01,mike,aviles
avilera01,ramon,aviles
avreaja01,jay,avrea
axelrdy01,dylan,axelrod
axforjo01,john,axford
ayalabe01,benny,ayala
ayalabo01,bobby,ayala
ayalalu01,luis,ayala
aybarer01,erick,aybar
aybarma01,manny,aybar
aybarwi01,willy,aybar
aydelja01,jake,aydelott
ayersbi01,bill,ayers
ayersdo01,doc,ayers
aylwadi01,dick,aylward
ayraubo01,bob,ayrault
ayraujo01,joe,ayrault
azcuejo01,joe,azcue
azocaos01,oscar,azocar
babbch01,charlie,babb
babcobo01,bob,babcock
babelo01,loren,babe
babicjo01,johnny,babich
babinch01,charlie,babington
babitsh01,shooty,babitt
backebr01,brandon,backe
backmle01,les,backman
backmwa01,wally,backman
baconed01,eddie,bacon
bacsimi02,mike,bacsik
baczefr01,fred,baczewski
